Outcome, 					Prize, 	Combinations,		Probability,	Frequency,	Variance,		Return
Royal Flush, 			4000, 	41126022, 			0.000025, 		40390.55, 	15.805884, 	0.019807
Straight Flush, 	250, 		181573608, 			0.000109, 		9148.37, 		0.262500, 	0.005465
Four of a Kind, 	125, 		3924430647, 		0.002363, 		423.27, 		1.361344, 	0.059064
Full House, 			45, 		19122956883, 		0.011512, 		86.86, 			0.737622, 	0.103610
Flush, 						30, 		18296232180, 		0.011015, 		90.79, 			0.275865, 	0.066087
Straight, 				20, 		18653130482, 		0.011229, 		89.05, 			0.101372, 	0.044917
Three of a Kind, 	15, 		123666922527,		0.074449, 		13.43, 			0.299155, 	0.223346
Two Pair, 				10, 		214745513679,		0.129279, 		7.74, 			0.130461, 	0.258558
Jacks or Better, 	5, 			356447740914,		0.214585, 		4.66, 			0.000004, 	0.214585
All Other, 				0, 			906022916158,		0.545435, 		1.83, 			0.540471, 	0.000000
Totals, 					N/A, 		1661102543100, 	1.000000, 		2.20, 			19.514676, 	0.995439
